,pbmc_1,pbmc_10,pbmc_12,pbmc_2,pbmc_4,pbmc_5,pbmc_6,pbmc_7,pbmc_9
LMAN1,21.227957,12.572162,20.132448,8.59749,14.352478,16.95268,22.346318,14.2252,13.9769
LMAN2,125.12179,125.74948,114.86738,108.18254,82.37065,92.99495,125.75897,109.89143,112.093
LRRC25,124.5305,169.3886,155.2748,125.2276,98.1522,118.1718,132.3154,116.3954,143.6489
LRRC59,33.7561,31.9679,34.6661,22.165,26.2039,34.7814,36.7436,30.294,35.595
LRRK2,11.657107,10.861805,11.209626,6.76501,19.699,37.44888,15.214425,11.594255,15.229146
LST1,454.335750000283,692.81528312739,555.46093229832,530.13996,559.04422,578.01158,450.71756,615.942521,703.27479283
LYZ,7912.41,9331.48,9506.39,6048.82,3547.27,8543.28,13802.1,6712.18,10513.5
MAN1A1,23.8524,18.735,29.7165504,11.2007,13.9692986,31.4401656,33.5248,24.84,30.6354
MANF,57.0146,44.9591,51.2511,51.6079,36.5786,34.8571,53.258,64.4619,46.1845
MARCKS,57.9039,49.8846,44.6163,37.6117,28.6565,41.6725,30.1552,41.165,37.7633
MATK,48.34549,30.7604,73.665298,59.7681,82.24887,74.0837,44.76406,95.3552,57.10215
MCTP2,4.5076409,2.565486,5.2136437,2.382649,9.111496272958,9.998274064,4.467673705,5.6086819,6.115166
MEI1,22.4712168,17.1455857,25.16303,16.597931,32.18185,33.727865,22.70199,18.400606,15.016449
MNDA,303.166,286.365,216.367,192.723,115.251,216.531,349.421,214.576,250.961
MRPL24,43.4242,38.3587,35.2478,36.5026,29.0402,33.2121,35.7277,38.85,29.4063
MS4A1,24.742760892,16.0663840014533,15.839589931335,9.621499,76.79861117073,98.6464689,15.673461539249,10.97541022,6.71237396
MS4A7,19.6253421,35.75753,62.77379,37.590696,65.8575,77.39617,37.442906,63.17696,55.117587
NAMPT,34.294242,30.79293,36.10461,42.19316,49.30866,84.598061,48.680027,58.79057,50.21948
NANS,41.667362,54.455415,37.282635,37.42438,34.159935,45.87191,51.913983,45.689618,45.748966
NCF2,253.00730101108,296.944841236,228.77950020519,191.1188458,179.02300279698,293.11964,314.47812,242.2103175,253.30720661
NCR3,42.77856,30.43022,41.29435,40.163124,40.94302,19.434883,31.19178,65.6189,38.33555
NFKBIA,312.79609,460.58307,384.77467,258.31592,621.89530372564,610.0318,359.57611,464.530660014884,446.71592
NLRP3,15.7802145005,15.4998500378266,12.0689350265387,9.94443522381863,12.795243714,20.9222324222608,13.51914307638,14.01663363608,14.443073
OSTC,97.179,81.4301,88.4636,75.675,57.9881,74.1546,101.422,95.7911,80.0133
PAK1,63.57925,61.594438,57.960081,48.830946954,50.4449630015161,68.96556,60.85674,61.548262,55.798406
PARK7,243.6725697,238.9544931,221.994385,205.340703,169.2354,188.205779,245.494473,245.171888,225.749777
PDIA4,72.7069,55.3001,68.5515,49.7474,38.1133,53.0771,81.0607,54.6633,60.2797
PDIA6,116.9636782,93.199894,117.395,75.4065457,58.4586,98.026137,119.372,98.3422,108.231346
PDXK,15.4357946,19.660098,14.193974,18.066592,21.78246,21.075544,17.970227,15.715621,15.0383277
PFKP,35.10126476368,26.944197,31.983964,22.737217,37.32575,29.51692334265,30.1101500171428,31.824816,22.590457476131
PILRA,105.97679,176.881982,134.947545,116.196937,122.68978,148.72313,154.2188,151.123356,173.660662
PIM2,80.7169,89.2579,71.4019,59.5563,57.112,48.3473,61.8583,41.4459,49.6456
PLBD1,138.359,184.395,148.898,98.5124,66.226,146.014,275.61,113.621,193.711
PLEKHA2,29.64223,29.7333,29.9954,20.91241,39.3601,45.2819,25.501,30.5929,25.6463
PPIB,479.220117,468.387038,430.964467,432.92888,316.3024,378.15955,555.555415,488.50929,437.321287
PPP1R14B,96.5242,111.429,82.1886,100.309,67.0361,68.4198,82.836,93.7114,88.9548
PRDX4,26.9675,22.603,24.7743,15.4189,14.247,17.8449,26.6566,21.2416,25.0206
PTCRA,5.328964,13.7335,7.131062,13.1404,15.062598,8.1412,10.223107,8.41837,12.4681
PTGDS,30.4499626,48.4369955,87.392636,48.362799,75.9969,91.62982,25.602154,57.883097,99.606157
RABAC1,181.184,194.698,188.406,193.883,149.717,139.692,194.633,199.306,176.081
RALGPS2,11.578569,11.427117,12.22036,5.0500000468061,13.78893,18.18255,11.83775,7.2903648,7.901679
RANBP6,13.2958997,10.638480217763,16.67245286,7.66059000077668,17.45857073,23.59181,13.2753841519,12.8332198764,11.8729032
RBM39,83.745485,65.20546519,94.046266,58.408941757993,236.21005731999,226.5965134,74.181646,101.50467404,84.034436
REXO2,18.6314,14.3694,15.2084,16.080502,16.6032,15.351836,11.2429,15.3218,14.1038
RPN1,151.35053,155.701499,129.073,117.914663,84.90215,111.38895,145.485397,140.355,122.461077
S100A12,589.468,582.617,348.409,449.086,222.991,203.228,1018.25,440.923,636.156
S100A8,4452.63,4765.87,2713.9,4748.68,1946.01,2486.49,5634.23,3844.99,4942.71
S100A9,8052.83,7977.44,4539.82,5807.95,2679.5,4254.66,9544.33,5484.33,7447.63
S100B,2.63264,1.699807,39.91455,18.27252,8.78139,6.11455,41.85714,4.89624,10.46638
SEC11C,79.188818,65.62476,76.227911,59.325518,55.75236,57.04964,101.455541,74.077826,72.7082073
SEC61A1,102.2178,93.11826,100.64786,77.16075,85.83616,105.2731,103.80123,88.42474,83.56335
SEC63,20.945026,16.5113000001245,20.821735,11.57834,21.31673,23.68,22.2918,18.5439,16.756000365004
SERPINA1,456.635871126209,743.764348,734.454009,358.569828,361.704426141595,588.24394,553.755524,570.410929,737.7247
SLC35B1,33.741493,33.409666,30.384208,23.2716,36.70736,40.19501,36.41621,38.66481,31.8647732
SOD2,177.448916,312.426677,284.940582,228.135484,246.755769,340.492941,361.584169,315.558814,279.961442
SPATS2,5.0505810874836,2.390894,4.498778,4.76414,19.126837,7.6834854,4.729989,5.2033483,3.8921294
SPCS2,27.8556,19.6907,24.5249,23.0269,15.2012,20.8317,25.7482,25.3972,20.9964
SPCS3,52.5452,42.8586,47.8572,37.3525,52.8828,64.3847,47.5638,41.7367,39.3094
SPI1,369.74939,560.58712,368.39346,345.31622,375.3672,469.5383,391.18626,347.50612,407.67728
SPON2,35.04754,48.462024,124.65256,55.407869,85.63305,119.0348,65.795636,110.31007,219.257777
SRPRB,19.0849,13.4297,13.8441,12.8147,16.8707,15.151,19.6803,18.0034,13.7798
SSB,81.06015,64.9806756,77.6609,57.6188273,76.52309,77.22637,71.15143,70.09888,60.77511
SSR3,46.73479,34.6994,42.301249,24.1263,28.5284,34.6934,47.47337,38.069928,34.917627
SSR4,367.906431,385.828,346.238,357.294779,283.023915,301.754957,428.81147,363.678,326.10355
SUB1,64.628101,49.15567,66.193018,51.388536,55.79219,59.84375,68.33495,60.016204,60.03457
TCL1A,50.867,72.772,38.1001,16.23659,18.02507,29.16642,30.84626,41.7897,28.663
THBS1,3.63477,6.72713,21.24597,15.40226,11.1134,7.84319,11.67607,8.91122,16.43307
TIMP1,219.719968,235.331341,233.9599122,206.871943,199.29511,224.39257,260.129422,241.57786,263.09331
TMED9,122.694,139.204,126.616745,108.178,83.5461,102.856,113.496,127.37615,125.402
TMEM106B,10.674094,6.86119,8.3437797,4.37787,7.58032,6.64047,8.16945,6.65171,5.749618
TNFAIP2,83.70296,69.29053,49.19206,53.0882,471.7814,591.9039,58.15658,52.88308,58.07425
TNFRSF17,8.882269,1.949133,3.96488,4.05702,6.875513,3.304525,19.640696,5.48148,3.344287
TSPAN13,10.6343,13.811,10.5975,6.11315,6.42996,10.3234,10.5103,8.70601,8.45709
TSPAN4,15.4189993,20.6014,18.35847401,18.9946814301,26.8053243,25.768793,27.720798,31.14938,18.49703
TTC38,19.60216,12.50835,32.9716,15.96372,51.1819,39.5625,23.6601,40.4993,24.54878
TTC39C,39.78597,31.77102,39.27177,32.24517,41.90926,39.0773,25.79725,32.13803,28.64661
TXNDC11,40.348923,35.4679,31.74342,24.3663,30.6808,42.118369,35.7726,33.0674,31.226255
TXNDC5,113.9916522,50.08288,81.0813061942,42.6788,31.72025,61.0147769891,209.0861781,51.319985,55.204652871
UBE2J1,61.4215,54.5132,70.6012,38.8146,36.4083,55.1564,76.7739,50.6086,53.4693
UGCG,7.77853,8.73182,6.52042,3.67562,7.93661,12.1203,7.13676,7.02125,6.88597
VCAN,276.858673,282.7823900079,218.532429,198.4794565,185.419366096833,281.887271,401.80336,233.504715,297.2007567935
VEGFA,6.56426,5.86853378752,3.93438265010548,5.22954000053507,11.9405753016154,11.0405068027353,5.8596540002667,10.7929242934168,5.79075470458299
XBP1,170.375,137.46356,158.60095,125.66371,111.3568,123.9021,154.68085,133.76738,128.25055
XCL2,5.18772,7.58555,9.67695,8.23887,16.4436,7.61853,7.60262,13.3388,8.62659
ZBP1,11.85158,10.82,11.758886,8.45338000233633,38.50437,39.882318,10.328908,9.139862,10.673548
